date,confirm_add,confirm,heal,dead
1.31,2.0,2.0,0.0,0.0
2.01,0.0,2.0,0.0,0.0
2.02,0.0,2.0,0.0,0.0
2.03,0.0,2.0,0.0,0.0
2.04,0.0,2.0,0.0,0.0
2.05,0.0,2.0,0.0,0.0
2.06,0.0,2.0,0.0,0.0
2.07,1.0,3.0,0.0,0.0
2.08,0.0,3.0,0.0,0.0
2.09,0.0,3.0,0.0,0.0
2.1,0.0,3.0,0.0,0.0
2.11,0.0,3.0,0.0,0.0
2.12,0.0,3.0,0.0,0.0
2.13,0.0,3.0,0.0,0.0
2.14,0.0,3.0,0.0,0.0
2.15,0.0,3.0,0.0,0.0
2.16,0.0,3.0,0.0,0.0
2.17,0.0,3.0,0.0,0.0
2.18,0.0,3.0,0.0,0.0
2.19,0.0,3.0,0.0,0.0
2.2,0.0,3.0,0.0,0.0
2.21,3.0,6.0,0.0,0.0
2.22,17.0,20.0,0.0,2.0
2.23,56.0,132.0,1.0,2.0
2.24,98.0,230.0,2.0,6.0
2.25,53.0,283.0,1.0,7.0
2.26,91.0,374.0,1.0,12.0
2.27,154.0,528.0,42.0,14.0
2.28,127.0,655.0,45.0,17.0
2.29,238.0,888.0,46.0,21.0
3.01,240.0,1128.0,50.0,29.0
3.02,585.0,1713.0,83.0,41.0
3.03,373.0,2086.0,149.0,52.0
3.04,460.0,2546.0,160.0,79.0
3.05,543.0,3089.0,276.0,107.0
3.06,838.0,3927.0,414.0,148.0
3.07,822.0,4680.0,523.0,197.0
3.08,1332.0,6012.0,589.0,233.0
3.09,1541.0,7424.0,622.0,366.0
3.1,1796.0,9220.0,724.0,463.0
3.11,1063.0,10283.0,1004.0,631.0
3.12,2179.0,12462.0,1045.0,827.0
3.13,2923.0,15385.0,1258.0,1016.0
3.14,2547.0,17660.0,1439.0,1266.0
3.15,3610.0,21270.0,1966.0,1441.0
3.16,3590.0,24747.0,2335.0,1809.0
3.17,3233.0,27980.0,2749.0,2158.0
3.18,3526.0,31506.0,2941.0,2503.0
3.19,4949.0,36455.0,4025.0,2978.0
3.2,5322.0,41035.0,4440.0,3405.0
3.21,5986.0,47021.0,5129.0,4032.0
3.22,6557.0,53578.0,6072.0,4825.0
3.23,5560.0,59138.0,7024.0,5476.0
3.24,4789.0,63927.0,7432.0,6077.0
3.25,5249.0,69176.0,8326.0,6820.0
3.26,5210.0,74386.0,9362.0,7503.0
3.27,6153.0,80539.0,10361.0,8215.0
3.28,5959.0,86498.0,10950.0,9134.0
3.29,5974.0,92472.0,12384.0,10023.0
3.3,5217.0,97689.0,13030.0,10779.0
3.31,4050.0,101739.0,14620.0,11591.0
4.01,4053.0,105792.0,15729.0,12428.0
4.02,4782.0,110574.0,16847.0,13155.0
4.03,4668.0,115242.0,18278.0,13915.0
4.04,4585.0,119827.0,19758.0,14681.0
4.05,4805.0,124632.0,20996.0,15362.0
4.06,4316.0,128948.0,21815.0,15887.0
4.07,3599.0,132547.0,22837.0,16523.0
4.08,3039.0,135586.0,24392.0,17127.0
4.09,3836.0,139422.0,26491.0,17669.0
4.1,4204.0,143626.0,28470.0,18279.0
4.11,3951.0,147577.0,30455.0,18849.0
4.12,4694.0,152271.0,32534.0,19468.0
4.13,4092.0,156363.0,34211.0,19899.0
4.14,3153.0,159516.0,35435.0,20465.0
4.15,2972.0,162488.0,37130.0,21067.0
4.16,2667.0,165155.0,38092.0,21645.0
4.17,3786.0,168941.0,40164.0,22170.0
4.18,3493.0,172434.0,42727.0,22745.0
4.19,3491.0,175925.0,44927.0,23227.0
4.2,3047.0,178972.0,47055.0,23660.0
4.21,2256.0,181228.0,48877.0,24114.0
4.22,2729.0,183957.0,51600.0,24648.0
4.23,3370.0,187327.0,54543.0,25085.0
4.24,2646.0,189973.0,57576.0,25549.0
4.25,3021.0,192994.0,60498.0,25969.0
4.26,2357.0,195351.0,63120.0,26384.0
4.27,2324.0,197675.0,64928.0,26644.0
