date,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2020/1/13,,41,0,0,1,,0,0,0,0,0,0,,0,0
2020/1/14,,41,0,0,1,,0,0,0,0,0,0,,0,0
2020/1/15,,41,0,5,2,,0,0,0,0,0,0,,0,0
2020/1/16,,45,0,8,2,,0,0,0,0,0,0,,0,0
2020/1/17,,62,0,12,2,,0,0,0,0,0,0,,0,0
2020/1/18,,198,0,17,3,,0,0,0,0,0,0,,0,0
2020/1/19,,275,0,18,4,,0,0,0,0,0,0,,0,0
2020/1/20,,291,0,25,6,,0,291,77,27,0,0,,0,0
2020/1/21,,440,0,25,9,,0,431,149,53,0,0,,0,0
2020/1/22,,574,0,25,17,,0,557,131,257,0,0,,0,0
2020/1/23,,835,0,34,25,,0,776,259,680,0,0,,0,0
2020/1/24,,1297,0,38,41,,0,1218,444,1118,0,0,,0,0
2020/1/25,,1985,0,49,56,,0,1880,688,1309,0,0,,0,0
2020/1/26,,2761,0,51,80,,0,2630,769,3806,0,0,,0,0
2020/1/27,,4535,0,60,106,,0,4369,1771,2077,0,0,,0,0
2020/1/28,,5997,0,103,132,,0,5762,1459,3248,0,0,,0,0
2020/1/29,,7736,0,124,170,,0,7442,1737,4148,0,0,,0,0
2020/1/30,,9720,0,171,213,,0,9336,1982,4812,0,0,,0,0
2020/1/31,,11821,0,243,259,,0,11319,2102,5019,0,0,,0,0
2020/2/1,,14411,0,328,304,,0,13779,2590,4562,0,0,,0,0
2020/2/2,,17238,0,475,361,,0,16402,2829,5173,0,0,,0,0
2020/2/3,,20471,0,632,425,,0,19414,3235,5072,0,0,,0,0
2020/2/4,,24363,0,892,491,,0,22980,3893,3971,0,0,,0,0
2020/2/5,,28060,0,1153,564,,0,26343,3697,5328,0,0,,0,0
2020/2/6,,31211,0,1542,637,,0,29032,3143,4833,0,0,,0,0
2020/2/7,,34598,0,2052,723,,0,31823,3401,4214,0,0,,0,0
2020/2/8,,37251,0,2651,812,,0,33788,2656,3916,0,0,,0,0
2020/2/9,,40235,0,3283,909,,0,36043,3062,4008,0,0,,0,0
2020/2/10,,42708,0,3998,1017,,0,37693,2484,3536,0,0,,0,0
2020/2/11,,44730,0,4742,1114,,0,38874,2022,3342,0,0,,0,0
2020/2/12,,59882,0,5915,1368,,0,52599,15153,2807,0,0,,0,0
2020/2/13,,63932,0,6728,1381,,0,55823,5093,2450,0,0,,0,0
2020/2/14,,66576,0,8101,1524,,0,56951,2644,2277,0,0,,0,0
2020/2/15,,68584,0,9425,1666,,0,57493,2009,1918,0,0,,0,0
2020/2/16,,70635,0,10853,1772,,0,58010,2051,1563,0,0,,0,0
2020/2/17,,72528,0,12561,1870,,0,58097,1891,1432,0,0,,0,0
2020/2/18,,74279,0,14387,2006,,0,57886,1751,1185,0,0,,0,0
2020/2/19,,75002,0,16157,2121,,0,56386,820,1277,0,0,,0,0
2020/2/20,,75993,0,18266,2239,,0,55051,892,1614,0,0,,0,0
2020/2/21,,76392,0,20673,2348,,0,53371,399,1361,0,0,,0,0
2020/2/22,,77041,0,22907,2445,,0,51689,649,882,0,0,,0,0
2020/2/23,,77262,0,24757,2595,,0,49910,416,620,0,0,,0,0
2020/2/24,,77779,0,27353,2666,,0,47760,517,530,0,0,,0,0
2020/2/25,,78190,0,29775,2718,,0,45697,411,439,0,0,,0,0
2020/2/26,,78630,0,32531,2747,,0,43352,440,508,0,0,,0,0
2020/2/27,,78959,0,36157,2791,,0,40011,329,452,0,0,,0,0
2020/2/28,,79389,0,39049,2838,,0,37502,430,248,0,0,,0,0
2020/2/29,,79968,0,41675,2873,,0,35420,579,132,0,0,,0,0
2020/3/1,,80174,0,44518,2915,,0,32741,206,141,0,0,,0,0
2020/3/2,,80302,0,47260,2946,,0,30096,128,129,0,0,,0,0
2020/3/3,,80422,0,49914,2984,,0,27524,120,143,0,0,,0,0
2020/3/4,,80565,0,52109,3015,,20,25441,143,143,0,0,,0,2
2020/3/5,,80710,0,53793,3045,,36,23872,145,102,0,0,,0,16
2020/3/6,,80813,0,55477,3073,,60,22263,103,99,0,0,,0,24
2020/3/7,,80859,0,57143,3100,,63,20616,46,84,0,0,,0,3
2020/3/8,,80904,0,58684,3123,,67,19097,45,60,0,0,,0,4
2020/3/9,,80924,0,59982,3140,,69,17802,20,36,0,0,,0,2
2020/3/10,,80955,0,61567,3162,,79,16226,31,31,0,0,,0,10
2020/3/11,,80992,0,62887,3173,,85,14920,25,33,0,0,,0,6
2020/3/12,,81003,0,64216,3180,,88,13607,11,33,0,0,,0,3
2020/3/13,,81021,0,65649,3194,,95,12178,18,17,0,0,,0,7
2020/3/14,,81048,0,67022,3204,,111,10822,27,39,0,0,,0,16
2020/3/15,,81077,0,67863,3218,,123,9996,29,41,0,0,,0,12
2020/3/16,,81116,0,68799,3231,,143,9086,39,45,0,0,,0,20
2020/3/17,,81151,0,69725,3242,,155,8184,35,21,0,0,,0,12
2020/3/18,,81235,0,70547,3250,,189,7438,84,23,0,0,,0,34
2020/3/19,,81300,0,71284,3253,,228,6763,65,31,0,0,,0,39
2020/3/20,,81416,0,71876,3261,,269,6013,116,36,0,0,,0,41
2020/3/21,,81498,0,72382,3267,,314,5849,82,45,0,0,,0,45
2020/3/22,,81600,0,72841,3276,,353,5483,102,47,0,0,,0,39
2020/3/23,,81747,0,73299,3283,,427,5165,147,35,0,0,,0,74
2020/3/24,,81846,0,73791,3287,,474,4768,99,33,0,0,,0,47
2020/3/25,,81960,0,74196,3293,,541,4471,114,58,0,0,,0,67
2020/3/26,,82078,0,74737,3298,,595,4043,118,49,0,0,,0,54
2020/3/27,,82213,0,75122,3301,,649,3790,135,29,0,0,,0,54
2020/3/28,,82341,0,75600,3306,,693,3435,128,28,0,0,,0,44
2020/3/29,,82447,0,75937,3311,,723,3199,106,17,0,0,,0,30
2020/3/30,,82545,0,76225,3314,,771,3006,98,44,0,0,,0,48
2020/3/31,,82631,0,76415,3321,,806,2895,86,26,0,0,,0,35
2020/4/1,,82724,0,76610,3327,,841,2787,93,20,0,0,,0,35
2020/4/2,,82802,0,76785,3331,,870,2686,78,12,0,0,,0,29
2020/4/3,,82861,0,76984,3335,,888,2556,73,11,0,0,,0,18
2020/4/4,,82930,0,77210,3338,,913,2382,55,11,0,0,,0,25
2020/4/5,,83005,0,77348,3340,,951,2317,75,10,0,0,,0,38
2020/4/6,,83071,0,77450,3340,,983,2281,66,12,0,0,,0,32
2020/4/7,,83157,0,77586,3342,,1042,2229,86,12,0,0,,0,59
2020/4/8,,83249,0,77711,3344,,1103,2194,92,17,0,0,,0,61
2020/4/9,,83305,0,77838,3345,,1141,2122,56,3,0,0,,0,38
2020/4/10,,83369,0,77935,3349,,1183,2085,64,8,0,0,,0,42
2020/4/11,,83482,0,78020,3349,,1280,2113,113,49,0,0,,0,97
2020/4/12,,83602,0,78145,3351,,1378,2106,115,6,0,0,,0,98
2020/4/13,,83696,0,78262,3351,,1464,2083,99,3,0,0,,0,86
2020/4/14,,83745,0,78389,3352,,1500,2004,49,11,0,0,,0,36
2020/4/15,,83797,0,78504,3352,,1534,1941,52,4,0,0,,0,34
2020/4/16,,83824,0,78600,3352,,1549,1872,27,3,0,0,,0,15
2020/4/17,,84180,0,77744,4642,,1566,1794,31,5,0,0,,0,17
2020/4/18,,84201,0,77825,4642,,1575,1734,21,2,0,0,,0,9
2020/4/19,,84237,0,77895,4642,,1583,1700,36,2,0,0,,0,8
2020/4/20,,84250,0,77978,4642,,1587,1630,13,3,0,0,,0,4
2020/4/21,,84287,0,78042,4642,,1610,1603,37,3,0,0,,0,23
2020/4/22,,84302,0,78147,4642,,1616,1513,15,0,0,0,,0,6
2020/4/23,,84311,0,78236,4642,,1618,1433,9,2,0,0,,0,2
2020/4/24,,84324,0,78362,4642,,1629,1320,13,3,0,0,,0,11
2020/4/25,,84338,0,78450,4642,,1634,1246,14,0,0,0,,0,5
2020/4/26,,84341,0,78558,4643,,1636,1140,3,5,0,0,,0,2
2020/4/27,,84347,0,78664,4643,,1639,1040,6,1,0,0,,0,3
2020/4/28,,84369,0,78729,4643,,1660,997,22,2,0,0,,0,21
2020/4/29,,84373,0,78785,4643,,1664,945,4,3,0,0,,0,4
2020/4/30,,84385,0,78845,4643,,1670,897,12,3,0,0,,0,6
2020/5/1,,84388,0,78905,4643,,1671,840,3,2,0,0,,0,1
2020/5/2,,84393,0,78939,4643,,1672,811,5,0,0,0,,0,1
2020/5/3,,84400,0,79016,4643,,1675,741,7,1,0,0,,0,3
2020/5/4,,84404,0,79126,4643,,1676,635,4,0,0,0,,0,1
2020/5/5,,84406,0,79204,4643,,1678,559,2,3,0,0,,0,2
2020/5/6,,84409,0,79268,4643,,1680,498,3,2,0,0,,0,2
2020/5/7,,84415,0,79324,4643,,1680,448,6,3,0,0,,0,0
2020/5/8,,84416,0,79401,4643,,1681,372,1,2,0,0,,0,1
2020/5/9,,84430,0,79488,4643,,1683,299,14,1,0,0,,0,2
2020/5/10,,84450,0,79533,4643,,1690,274,20,0,0,0,,0,7
2020/5/11,,84451,0,79566,4644,,1691,241,1,1,0,0,,0,1
2020/5/12,,84458,0,79594,4644,,1692,220,7,1,0,0,,0,1
2020/5/13,,84464,0,79621,4644,,1692,199,6,0,0,0,,0,0
2020/5/14,,84469,0,79644,4644,,1692,181,5,1,0,0,,0,0
2020/5/15,,84478,0,79668,4644,,1698,166,9,2,0,0,,0,6
2020/5/16,,84484,0,79682,4645,,1700,157,5,2,0,0,,0,2
2020/5/17,,84494,0,79701,4645,,1704,148,10,1,0,0,,0,4
2020/5/18,,84500,0,79708,4645,,1707,147,6,1,0,0,,0,3
2020/5/19,,84505,0,79715,4645,,1708,145,5,3,0,0,,0,1
2020/5/20,,84507,0,79722,4645,,1709,140,2,1,0,0,,0,1
2020/5/21,,84520,0,79736,4645,,1711,139,13,1,0,0,,0,2
2020/5/22,,84522,0,79740,4645,,1711,137,2,2,0,0,,0,0
2020/5/23,,84525,0,79746,4645,,1713,134,3,3,0,0,,0,2
2020/5/24,,84536,0,79757,4645,,1724,134,11,0,0,0,,0,11
2020/5/25,,84543,0,79767,4645,,1731,131,7,0,0,0,,0,7
2020/5/26,,84544,0,79774,4645,,1732,125,1,1,0,0,,0,1
2020/5/27,,84547,0,79786,4645,,1734,116,3,0,0,0,,0,2
2020/5/28,,84547,0,79791,4645,,1734,111,0,0,0,0,,0,0
2020/5/29,,84565,0,79802,4645,,1738,118,18,1,0,0,,0,4
2020/5/30,,84570,0,79806,4645,,1740,119,5,0,0,0,,0,2
2020/5/31,,84588,0,79812,4645,,1756,131,18,0,0,0,,0,16
2020/6/1,,84597,0,79824,4645,,1761,128,9,0,0,0,,0,5
2020/6/2,,84602,0,79824,4645,,1762,133,7,1,0,0,,0,1
2020/6/3,,84603,0,79831,4645,,1763,127,1,0,0,0,,0,1
2020/6/4,,84614,0,79842,4645,,1768,127,11,0,0,0,,0,5
2020/6/5,,84620,0,79848,4645,,1771,127,6,1,0,0,,0,3
2020/6/6,,84629,0,79854,4645,,1776,130,9,2,0,0,,0,5
2020/6/7,,84634,0,79865,4645,,1780,124,5,1,0,0,,0,4
2020/6/8,,84638,0,79875,4645,,1783,118,4,0,0,0,,0,3
2020/6/9,,84641,0,79883,4645,,1786,113,3,0,0,0,,0,3
2020/6/10,,84652,0,79888,4645,,1797,119,11,0,0,0,,0,11
2020/6/11,,84659,0,79896,4645,,1803,118,7,0,0,0,,0,6
2020/6/12,,84671,0,79903,4645,,1808,123,11,0,0,0,,0,5
2020/6/13,,84729,0,79906,4645,,1827,178,58,1,0,0,,0,19
2020/6/14,,84778,0,79913,4645,,1837,220,49,1,0,0,,0,10
