date,healRate,noInfect,suspect,dead,nowSevere,deadRate,confirm,heal,nowConfirm,importedCase
1.13,0.0,0,0,1,0,2.4,41,0,0,0
1.14,0.0,0,0,1,0,2.4,41,0,0,0
1.15,12.2,0,0,2,0,4.9,41,5,0,0
1.16,17.8,0,0,2,0,4.4,45,8,0,0
1.17,19.4,0,0,2,0,3.2,62,12,0,0
1.18,8.6,0,0,3,0,1.5,198,17,0,0
1.19,6.5,0,0,4,0,1.5,275,18,0,0
1.2,8.6,0,54,6,0,2.1,291,25,291,0
1.21,5.7,0,37,9,0,2.0,440,25,431,0
1.22,4.4,0,393,17,0,3.0,574,25,557,0
1.23,4.1,0,1072,25,0,3.0,835,34,776,0
1.24,2.9,0,1965,41,0,3.2,1297,38,1218,0
1.25,2.5,0,2684,56,324,2.8,1985,49,1880,0
1.26,1.8,0,5794,80,461,2.9,2761,51,2630,0
1.27,1.3,0,6973,106,976,2.3,4535,60,4369,0
1.28,1.7,0,9239,132,1239,2.2,5997,103,5762,0
1.29,1.6,0,12167,170,1370,2.2,7736,124,7442,0
1.3,1.8,0,15238,213,1527,2.2,9720,171,9336,0
1.31,2.1,0,17988,259,1795,2.2,11821,243,11319,0
2.01,2.3,0,19544,304,2110,2.1,14411,328,13779,0
2.02,2.8,0,21558,361,2296,2.1,17238,475,16402,0
2.03,3.1,0,23214,425,2788,2.1,20471,632,19414,0
2.04,3.7,0,23260,491,3219,2.0,24363,892,22980,0
2.05,4.1,0,24702,564,3859,2.0,28060,1153,26343,0
2.06,4.9,0,26359,637,4821,2.0,31211,1542,29032,0
2.07,5.9,0,27657,723,6101,2.1,34598,2052,31823,0
2.08,7.1,0,28942,812,6188,2.2,37251,2651,33788,0
2.09,8.2,0,23589,909,6484,2.3,40235,3283,36043,0
2.1,9.4,0,21675,1017,7333,2.4,42708,3998,37693,0
2.11,10.6,0,16067,1114,8204,2.5,44730,4742,38874,0
2.12,9.9,0,13435,1368,8030,2.3,59882,5915,52599,0
2.13,10.5,0,10109,1381,10204,2.2,63932,6728,55823,0
2.14,12.2,0,8969,1524,11053,2.3,66576,8101,56951,0
2.15,13.7,0,8228,1666,11272,2.4,68584,9425,57493,0
2.16,15.4,0,7264,1772,10644,2.5,70635,10853,58010,0
2.17,17.3,0,6242,1870,11741,2.6,72528,12561,58097,0
2.18,19.4,0,5248,2006,11977,2.7,74279,14387,57886,0
2.19,21.5,0,4922,2121,11864,2.8,75002,16157,56386,0
2.2,24.0,0,5206,2239,11633,2.9,75993,18266,55051,0
2.21,27.1,0,5365,2348,11477,3.1,76392,20673,53371,0
2.22,29.7,0,4148,2445,10968,3.2,77041,22907,51689,0
2.23,32.0,0,3434,2595,9915,3.4,77262,24757,49910,0
2.24,35.2,0,2824,2666,9126,3.4,77779,27353,47760,0
2.25,38.1,0,2491,2718,8752,3.5,78190,29775,45697,0
2.26,41.4,0,2358,2747,8346,3.5,78630,32531,43352,0
2.27,45.8,0,2308,2791,7952,3.5,78959,36157,40011,0
2.28,49.2,0,1418,2838,7664,3.6,79389,39049,37502,0
2.29,52.1,0,851,2873,7365,3.6,79968,41675,35420,0
3.01,55.5,0,715,2915,7110,3.6,80174,44518,32741,0
3.02,58.9,0,587,2946,6806,3.7,80302,47260,30096,0
3.03,62.1,0,520,2984,6416,3.7,80422,49914,27524,0
3.04,64.7,0,522,3015,5952,3.7,80565,52109,25441,20
3.05,66.6,0,482,3045,5737,3.8,80710,53793,23872,36
3.06,68.6,0,502,3073,5489,3.8,80813,55477,22263,60
3.07,70.7,0,458,3100,5264,3.8,80859,57143,20616,63
3.08,72.5,0,421,3123,5111,3.9,80904,58684,19097,67
3.09,74.1,0,349,3140,4794,3.9,80924,59982,17802,69
3.1,76.1,0,285,3162,4492,3.9,80955,61567,16226,79
3.11,77.6,0,253,3173,4257,3.9,80992,62887,14920,85
3.12,79.3,0,147,3180,4020,3.9,81003,64216,13607,88
3.13,81.0,0,115,3194,3610,3.9,81021,65649,12178,95
3.14,82.7,0,113,3204,3226,4.0,81048,67022,10822,111
3.15,83.7,0,134,3218,3032,4.0,81077,67863,9996,123
