id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-01-07 08:23:02,突尼斯,149881,0,111599,5004,0,0.0,2820.0,,1275.0,70.0,,,
9507896,2021-01-07 08:23:02,塞尔维亚,352120,0,0,3444,0,0.0,2882.0,,0.0,0.0,,,
0,2021-01-07 17:13:40,中国,97254,0,91172,4795,0,4359.0,94.0,,164.0,1.0,,-38.0,11.0
1,2021-01-07 18:03:37,日本本土,266098,0,210295,3636,0,0.0,6603.0,,3412.0,27.0,,,
2,2021-01-07 14:23:37,泰国,9636,0,4521,67,0,0.0,305.0,,103.0,1.0,,,
3,2021-01-07 18:03:38,新加坡,58813,0,58541,29,0,0.0,33.0,,24.0,0.0,,,
4,2021-01-07 11:13:28,韩国,66686,0,47649,1046,0,0.0,868.0,,654.0,19.0,,,
5,2021-01-07 13:18:27,澳大利亚,28546,0,25810,909,0,0.0,10.0,,7.0,0.0,,,
6,2021-01-07 18:03:37,德国,1844991,0,1496182,37837,0,0.0,15608.0,,23871.0,968.0,,,
7,2021-01-07 10:38:05,美国,21857616,0,13024142,369990,0,0.0,260973.0,,161926.0,4370.0,,,
8,2021-01-07 08:23:02,马来西亚,125438,0,100578,513,0,0.0,2593.0,,0.0,0.0,,,
9,2021-01-07 08:23:02,越南,1505,0,1353,35,0,0.0,1.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-01-07 08:23:02,肯尼亚,97398,0,79966,1694,0,0.0,271.0,,0.0,0.0,,,
826,2021-01-07 08:23:02,伊朗,1261903,0,1040521,55830,0,0.0,6283.0,,0.0,0.0,,,
827,2021-01-07 18:03:37,以色列,466377,0,399019,3527,0,0.0,6942.0,,3565.0,30.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-01-07 08:23:02,黎巴嫩,199925,0,136566,1550,0,0.0,4166.0,,970.0,21.0,,,
833,2021-01-07 08:23:02,克罗地亚,216286,0,205078,4223,0,0.0,1896.0,,0.0,0.0,,,
834,2021-01-07 08:23:02,奥地利,372190,0,344974,6525,0,0.0,2469.0,,0.0,0.0,,,
835,2021-01-07 08:23:02,瑞士,470789,0,317600,8109,0,0.0,4808.0,,0.0,45.0,,,
839,2021-01-07 08:23:02,希腊,142267,0,93764,5099,0,0.0,814.0,,0.0,48.0,,,
95800,2021-01-07 09:02:56,毛里求斯,539,0,514,10,0,0.0,8.0,,1.0,0.0,,,
845,2021-01-07 18:03:38,爱沙尼亚,31751,0,21567,265,0,0.0,1084.0,,496.0,4.0,,,
846,2021-01-07 08:23:02,北马其顿,85328,0,65793,2571,0,0.0,619.0,,1689.0,12.0,,,
850,2021-01-07 08:23:02,白俄罗斯,204958,0,186394,1480,0,0.0,1854.0,,0.0,0.0,,,
851,2021-01-07 18:03:37,立陶宛,154550,0,86109,2076,0,0.0,2335.0,,2272.0,40.0,,,
852,2021-01-07 08:23:02,阿塞拜疆,222200,0,201596,2818,0,0.0,799.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2021-01-07 18:03:38,乌克兰,1133802,0,801293,20334,0,0.0,9320.0,,11666.0,163.0,,,
874,2021-01-07 08:23:02,波兰,1344763,0,1087744,30055,0,0.0,14220.0,,0.0,0.0,,,
879,2021-01-07 08:23:02,波黑,113392,0,79465,4211,0,0.0,0.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2021-01-07 14:23:37,南非,1149591,0,929239,31368,0,0.0,21832.0,,8360.0,844.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2021-01-07 08:23:02,马耳他,13612,0,11540,227,0,0.0,224.0,,0.0,0.0,,,
896,2021-01-07 08:23:02,摩尔多瓦,147871,0,135911,3088,0,0.0,950.0,,1160.0,18.0,,,
897,2021-01-07 09:02:56,保加利亚,206392,0,128789,7961,0,0.0,1002.0,,2023.0,59.0,,,
898,2021-01-07 08:23:02,孟加拉,518898,0,463480,7687,0,0.0,978.0,,0.0,0.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2021-01-07 08:23:02,巴勒斯坦,144257,0,126110,1519,0,0.0,1088.0,,0.0,0.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2021-01-07 08:23:02,阿富汗,53105,0,42666,2244,0,0.0,94.0,,0.0,0.0,,,
95888822,2021-01-07 08:23:02,沙特阿拉伯,363377,0,354899,6272,0,0.0,118.0,,0.0,0.0,,,
9511123,2021-01-07 11:13:28,新西兰,2188,0,2101,25,0,0.0,2.0,,1.0,0.0,,,
95333,2021-01-07 08:23:02,塔吉克斯坦,13305,0,13111,90,0,0.0,0.0,,0.0,0.0,,,
83356,2020-06-15 13:25:33,泽西岛,313,0,292,15,0,0.0,,,,,,,
954467,2020-06-15 13:51:09,叙利亚,177,0,74,6,0,,,0.0,,,0.0,,
95327,2021-01-07 09:58:09,巴拿马,264956,0,208620,4283,0,0.0,5186.0,,2533.0,45.0,,,
95329,2021-01-07 08:23:02,古巴,13165,0,11248,148,0,0.0,201.0,,212.0,1.0,,,
9511111,2021-01-07 09:02:56,尼日利亚,94369,0,77299,1324,0,0.0,1664.0,,903.0,5.0,,,
95858585,2021-01-07 08:23:02,摩洛哥,447081,0,418744,7618,0,0.0,1642.0,,2036.0,37.0,,,
9500222,2021-01-07 08:23:02,塞内加尔,20156,0,17782,433,0,0.0,192.0,,0.0,0.0,,,
95118,2020-06-15 14:24:59,老挝,19,0,19,0,0,,,,,,,,
95350,2021-01-07 08:23:02,巴哈马,7945,0,6277,175,0,0.0,17.0,,17.0,0.0,,,
84226,2020-06-15 10:14:23,马约特岛,2282,0,1790,28,0,0.0,,,,,,,
954444,2021-01-07 08:23:02,斯洛文尼亚,131724,0,107103,2899,0,0.0,3365.0,,0.0,0.0,,,
95103,2021-01-07 08:23:02,卢森堡,47430,0,43712,517,0,0.0,281.0,,244.0,3.0,,,
95106,2021-01-07 08:23:02,爱尔兰,121154,0,23364,2299,0,0.0,7832.0,,0.0,17.0,,,
